rented,email,availability,a,city,community,latitude,longitude,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,True,Immediate,2000-01-01,Calgary,Inglewood,51.040263,-114.032654,Apartment,950,studio,500,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Connaught,51.0394868,-114.0904517,Apartment,985,1,550,1,0,0,0,0,0,0,1,0,1,0,1
Not-Rented,True,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0376143,-114.0727417,Apartment,925,1,650,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Crescent Heights,51.05433488015,-114.053906275024,Apartment,995,1,800,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Brentwood,51.0930144,-114.1293589,Apartment,950,1,,1,0,0,0,0,0,0,0,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Kingsland,50.9889005,-114.0748588,Apartment,895,1,,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bankview,51.0330321,-114.0975033,Apartment,950,1,,1,0,0,0,1000,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Deer Run,50.9322881,-114.0113261,Apartment,980,1,690,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Dalhousie,51.1030746,-114.150732,Apartment,1000,1,651,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Willow Park,50.962396,-114.058199,Apartment,849,studio,300,1,0,0,650,999,1,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Kingsland,50.990369,-114.074715,Apartment,900,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Beltline,51.039056,-114.090944,Apartment,850,1,,1,2,0,0,975,0,0,1,1,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.036401700356,-114.09387588501,Apartment,800,studio,520,1,2,0,620,1000,1,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Capitol Hill,51.0703181,-114.0999278,Apartment,925,1,,1,2,0,0,975,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.04011,-114.0779808,Apartment,925,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Apr 15,2022-04-15,Calgary,Connaught,51.0397106,-114.0774382,Apartment,895,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Apr 30,2022-04-30,Calgary,Collingwood,51.0833631,-114.0956958,Apartment,940,1,,1,0,0,0,0,0,0,1,0,1,0,0
